OrgID,Legal title,Applied title,Website,Enabling instruments,Description raison d'étre,Ministerial portfolio,Institutional form,Population code,FAA institution schedule,FAA HR schedule,Appropriate Minister 1,Appropriate Minister 2,Appropriate Minister 3,Year of incorporation,Auditor 1,Auditor 2,Fiscal year end,Federal ownership or representation,Status,End date,Notes
14,Atomic Energy of Canada Limited,N.A.,www.aecl.ca,"Canada Business Corporations Act (R.S.C. 1985, c. C-44)","Atomic Energy of Canada Limited (AECL) is a federal Crown corporation responsible for enabling nuclear science and technology and managing Canada's radioactive waste and decommissioning responsibilities. It delivers its mandate through a long-term, contractual arrangement for the management and operation of Canadian Nuclear Laboratories (CNL) under a Government-owned, Contractor-operated (GoCo) model.",Natural Resources,Crown Corporations,AEC,III,N.A.,Minister of Natural Resources,N.A.,N.A.,1952,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
5,Aéroport de Québec Inc.,N.A.,www.aeroportdequebec.com,"Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)","To manage, operate, and develop the airport.",Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,2000,Raymond Chabot Grant Thornton LLP,N.A.,31-Dec,2/15 board members,Active,N.A.,N.A.
6,Aéroports de Montréal,N.A.,www.admtl.com,"Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)","To manage, operate, and develop the airports.",Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1992,KPMG LLP,N.A.,31-Dec,2/15 board members,Active,N.A.,N.A.
15,Bank of Canada,N.A.,www.bankofcanada.ca,"Bank of Canada Act, R.S.C. 1985, c. B-2","The mandate of the Bank is to regulate credit and currency in the best interests of the economic life of the nation, to control and protect the external value of the national monetary unit and to mitigate by its influence fluctuations in the general level of production, trade, prices and employment, so far as may be possible within the scope of monetary action, and generally to promote the economic and financial welfare of Canada. The Bank shall act as fiscal agent of the Government of Canada. The Bank has the sole right to issue notes.",Finance,Crown Corporations,BNK,N.A.,N.A.,Minister of Finance,N.A.,N.A.,1934,Ernst & Young LLP,PricewaterhouseCoopers LLP,31-Dec,N.A.,Active,N.A.,N.A.
16,Belledune Port Authority,N.A.,www.portofbelledune.ca,"Canada Marine Act, S.C. 1998, c. 10",To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and the community in which the port is located.,Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,2000,Grant Thornton LLP,N.A.,31-Dec,5/7 board members,Active,N.A.,N.A.
17,Blue Water Bridge Authority,N.A.,N.A.,"Blue Water Bridge Authority Act, S.C. 1964-65, c. 6","To operate, maintain, and repair the Canadian halves of the two bridges spanning the St. Clair River between Point Edward (Sarnia), Ontario, and Port Huron, Michigan, and the approaches and structures.",N.A.,Crown Corporations,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1964,N.A.,N.A.,N.A.,N.A.,Dissolved,2015,N.A.
19,Buffalo and Fort Erie Public Bridge Authority,N.A.,www.peacebridge.com,"Buffalo and Fort Erie Public Bridge Company Act, S.C. 1934, c. 63","To construct, maintain, and operate the Peace Bridge between Buffalo, New York, and Fort Erie, Ontario.",Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1923,"Lumsden & McCormick, LLP",N.A.,31-Dec,5/10 board members,Active,N.A.,N.A.
20,Business Development Bank of Canada,Business Development Bank of Canada,www.bdc.ca,"Business Development Bank of Canada Act, S.C. 1995, c. 28","The purpose of the Bank is to support Canadian entrepreneurship by providing financial and management services and by issuing securities or otherwise raising funds or capital in support of those services. In carrying out its activities, the Bank must give a particular consideration to the needs of small and medium-sized enterprises.","Innovation, Science and Economic Development",Crown Corporations,FBD,III,N.A.,"Minister of Innovation, Science and Economic Development",N.A.,N.A.,1974,Auditor General of Canada,Deloitte LLP,31-Mar,N.A.,Active,N.A.,N.A.
115,CORCAN,N.A.,www.csc-scc.gc.ca/corcan/index-eng.shtml,"Corrections and Conditional Release Regulations, 1992 c. 20 (section 105) Treasury Board Decision February 20, 1992",CORCAN's mandate is to aid in the safe reintegration of offenders into Canadian society by providing employment and employability skills training to offenders.,Public Safety and Emergency Preparedness,Special Operating Agencies,N.A.,N.A.,N.A.,Minister of Public Safety and Emergency Preparedness,N.A.,N.A.,1992,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
21,Calgary Airport Authority,N.A.,www.yyc.com,"Regional Airports Authorities Act, R.S.A. 2000, c. R-9","To manage, operate, and develop the airport.",Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1992,PricewaterhouseCoopers LLP,N.A.,31-Dec,2/17 board members,Active,N.A.,N.A.
24,Canada Agricultural Review Tribunal,N.A.,N.A.,"Canada Agricultural Products Act, R.S.C. 1985, c. 20 (4th Supp.)","The primary role of CART is to provide independent oversight, through the exercise of its review jurisdiction, of federal agencies' use of Administrative Monetary Penalties (AMP) under the Agriculture and Agri-Food Administrative Monetary Penalties Act. Alleged violators have the right to seek a review of any AMP violation before CART. Three agencies—the Canadian Food Inspection Agency, the Canada Border Services Agency and the Pest Management Regulatory Agency—currently fall under CART's review jurisdiction.",N.A.,Departmental Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1983,N.A.,N.A.,N.A.,N.A.,Transferred,2013,N.A.
26,Canada Border Services Agency,Canada Border Services Agency,www.cbsa.gc.ca,"Canada Border Services Agency Act, S.C. 2005, c. 38 Order-in-Council P.C. 2003-2066","The Minister of Public Safety and Emergency Preparedness is responsible for the Canada Border Services Agency (CBSA).    The CBSA provides integrated border services that support national  security priorities and facilitate the flow of people and goods across the border. Responsibilities include:    Administering legislation that governs the admissibility of people and goods into and out of Canada;   Identifying, detaining, and removing people who are inadmissible to Canada;   Interdicting illegal goods at Canada's border;   Protecting food safety, plant and animal health, and Canada’s resource base;   Administering trade legislation and agreements, including the enforcement of trade remedies that protect Canadian industry;  Administering a fair and impartial redress mechanism; and   Collecting duties and taxes on imported goods.",Public Safety and Emergency Preparedness,Departmental Corporations,BSF,II,IV,Minister of Public Safety and Emergency Preparedness,N.A.,N.A.,2003,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
28,Canada Commonwealth Legacy Fund,N.A.,N.A.,"Society Act, R.S.B.C. 1996, c. 433.  Canada Corporations Act, R.S.C. 1970, c. C-32",To finance programming dedicated to developing standards of high performance and competitive excellence in domestic and international amateur sport.,N.A.,Shared-Governance Corporations,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1994,N.A.,N.A.,N.A.,N.A.,Dissolved,2014,N.A.
29,Canada Council for the Arts,N.A.,www.canadacouncil.ca,"Canada Council for the Arts Act, R.S.C. 1985, c. C-2","To foster and promote the study, enjoyment of, and the production of works in, the arts.",Canadian Heritage,Crown Corporations,CCL,N.A.,N.A.,Minister of Canadian Heritage,N.A.,N.A.,1957,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
30,Canada Deposit Insurance Corporation,Canada Deposit Insurance Corporation,www.cdic.ca,"Canada Deposit Insurance Corporation Act (R.S.C., 1985, c. C-3; R.S., 1985, c. 18 (2nd Supp.); R.S., 1985, c. 18 (3rd Supp.); S.C., 1991, c. 45; S.C., 1992, cc. 1, 26, 27; S.C., 1993, c. 34; S.C., 1996, c. 6; S.C., 1997, c. 15; S.C., 1999, cc. 28, 31; S.C., 2001, c. 9; S.C., 2002, c. 8; S.C., 2003, c. 22; S.C., 2005, c. 30; S.C., 2007, cc. 6, 29; S.C., 2009, c. 2; S.C., 2010, c. 12; S.C., 2012, c. 5; S.C., 2012, c. 31; S.C., 2014, c. 20; S.C., 2016, c.7).","To provide insurance against the loss of all or part of deposits and to promote and otherwise contribute to the stability of the financial system in Canada, for the benefit of those with deposits in CDIC member institutions while minimizing the Corporation's exposure to loss.",Finance,Crown Corporations,DIC,III,N.A.,Minister of Finance,N.A.,N.A.,1967,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
31,Canada Development Investment Corporation,Canada Development Investment Corporation,www.cdev.gc.ca,"Canada Business Corporations Act, R.S.C. 1985, c. C-44","The objects of the Corporation are: to assist in the creation or development of businesses, resources, properties and industries of Canada; to expand, widen and develop opportunities for Canadians to participate in the economic development of Canada through the application of their skills and capital in any activities carried on by the Corporation; to invest in the shares or securities of any corporation owning property or carrying on business related to the economic interests of Canada; to invest in ventures or enterprises, including the acquisition of property, likely to benefit Canada; and to carry out all activities in the best interests of Canada, operating in a commercial manner.",Finance,Crown Corporations,CDI,III,N.A.,Minister of Finance,N.A.,N.A.,1982,Auditor General of Canada,KPMG LLP,31-Dec,N.A.,Active,N.A.,N.A.
32,Canada Emission Reduction Incentives Agency,N.A.,N.A.,"Canada Emission Reduction Incentives Agency Act, S.C. 2005, c. 30, s. 87",N/A,"Innovation, Science and Economic Development",Departmental Corporations,RED,II,IV,Minister of Justice and Attorney General of Canada,N.A.,N.A.,2005,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,"Non-operational on July 31, 2007."
33,Canada Employment Insurance Commission,Canada Employment Insurance Commission,www.esdc.gc.ca/eng/jobs/ei/commission/index.shtml,"Department of Employment and Social Development Act, S.C. 2005, c. 34","To exercise powers and perform duties in relation to employment insurance, employment services, and the development and utilization of labour market resources.","Families, Children and Social Development",Departmental Corporations,CEI,II,N.A.,"Minister of Families, Children and Social Development",N.A.,N.A.,1940,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,"Disclaimer: the profile information for this organization has not yet been validated for 2017, as per the Policy on Results and the Financial Administration Act."
34,Canada Employment Insurance Financing Board,N.A.,N.A.,"Canada Employment Insurance Financing Board Act,   S.C. 2008, c. 28, s. 121",To set the premium rate under section 66 of the Employment Insurance Act;   to maintain a reserve in accordance with that section; to manage any amounts paid to it under section 77.1 of that Act; and to invest its financial assets with a view to meeting its financial obligations.,N.A.,Crown Corporations,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2008,N.A.,N.A.,N.A.,N.A.,Dissolved,2013,N.A.
35,Canada Foundation for Innovation,N.A.,www.innovation.ca,"Budget Implementation Act, 1997, S.C. 1997, c. 26","To strengthen the capacity of Canadian universities, colleges, research hospitals, and non-profit research institutions to carry out world class research and technology development that benefits Canadians.","Innovation, Science and Economic Development",Shared-Governance Corporations,N.A.,N.A.,N.A.,"Minister of Innovation, Science and Economic Development",N.A.,N.A.,1997,Ernst & Young LLP,N.A.,31-Mar,6/13 board members,Active,N.A.,N.A.
36,Canada Foundation for Sustainable Development Technology,N.A.,www.sdtc.ca,"Canada Foundation for Sustainable Development Technology Act, S.C. 2001, c. 23","To fund projects that develop and demonstrate new clean technologies that promote sustainable development, including technologies to address issues related to climate change and the quality of air, water and soil.","Innovation, Science and Economic Development",Shared-Governance Corporations,N.A.,N.A.,N.A.,"Minister of Innovation, Science and Economic Development",N.A.,N.A.,2001,KPMG LLP,N.A.,31-Mar,7/15 board members,Active,N.A.,N.A.
37,Canada Games Council,N.A.,www.canadagames.ca,"Canada-Not-For-Profit Corporations Act, S.C. 2009, c. 23",To provide a major national multi-sport event for the best young athletes in all provinces and territories.,Canadian Heritage,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Canadian Heritage,N.A.,N.A.,1991,Deloitte & Touche LLP,N.A.,31-Mar,0/12 board members and 1 PCH observer,Active,N.A.,N.A.
38,Canada Health Infoway Inc.,N.A.,www.infoway-inforoute.ca,"Canada Not-for-profit Corporations Act, S.C. 2009, C. 23","Canada Health Infoway Inc. is an independent, not-for-profit corporation funded by the federal government, Infoway works with the jurisdictions to foster and accelerate the development and adoption of electronic health information systems with compatible standards on a pan-Canadian basis.",Health,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Health,N.A.,N.A.,2001,Ernst & Young LLP,N.A.,31-Mar,1/14 Corporate Members; 2/13 Board directors,Active,N.A.,N.A.
39,Canada Industrial Relations Board,N.A.,N.A.,"Canada Labour Code, R.S.C. 1985, c. L-2","The CIRB’s mandate is to contribute to and promote a harmonious industrial relations climate in the federally regulated sector through the impartial, effective and appropriate administration of the rules of conduct that govern labour and management in their representational and bargaining activities.",N.A.,Departmental Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1999,N.A.,N.A.,N.A.,N.A.,Transferred,2014,"Pursuant to the Administrative Tribunals Support Service of Canada Act, the Canada Industrial Relations Board was amalgamated to the Administrative Tribunals Support Service of Canada, effective November 1, 2014."
344,Canada Infrastructure Bank,N.A.,www.infrastructure.gc.ca/CIB-BIC/index-eng.html,"Canada Infrastructure Bank Act, S.C. 2017, c. 20, s. 403","The purpose of the Bank is to invest, and seek to attract investment from private sector investors and institutional investors, in infrastructure projects in Canada or partly in Canada that will generate revenue and that will be in the public interest by, for example, supporting conditions that foster economic growth or by contributing to the sustainability of infrastructure in Canada.",Infrastructure and Communities,Crown Corporations,N.A.,III,N.A.,Minister of Infrastructure and Communities,N.A.,N.A.,2017,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
538,Canada Investment and Savings,N.A.,N.A.,N.A.,N.A.,N.A.,Other Organizations,N.A.,N.A.,V,N.A.,N.A.,N.A.,1995,N.A.,N.A.,N.A.,N.A.,Active,N.A.,Non-operational.
40,Canada Lands Company Limited,N.A.,www.clc.ca,"Canada Business Corporations Act, R.S.C. 1985, c. C-44","Through its subsidiaries, to ensure the commercially oriented, orderly disposition of selected surplus federal real properties with optimal value to the Canadian taxpayer and the holding of certain properties.",Public Services and Procurement,Crown Corporations,CLC,III,N.A.,Minister of Public Services and Procurement,N.A.,N.A.,1956,Auditor General of Canada,N.A.,7-Mar,N.A.,Active,N.A.,N.A.
41,Canada Media Fund,N.A.,www.cmf-fmc.ca,"Canada Corporations Act, R.S.C. 1970, c. C-32 (original instrument) Canada Not-for-Profit Corporations Act, S.C. 2009, ch. 23 (Current Instrument)","To champion the creation of successful, innovative Canadian content and software applications for current and emerging digital platforms through financial support and industry research.",Canadian Heritage,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Canadian Heritage,N.A.,N.A.,2009,KPMG LLP,N.A.,31-Mar,2/7 board members nominated (rather than appointed),Active,N.A.,N.A.
42,Canada Mortgage and Housing Corporation,Canada Mortgage and Housing Corporation,www.cmhc.ca,"Canada Mortgage and Housing Corporation Act, R.S.C. 1985, c. C-7","As set out in the National Housing Act (NHA), CMHC’s mandate is to promote the construction of new houses, the repair and modernization of existing houses, and the improvement of housing and living conditions. In relation to financing for housing, the NHA’s purpose is to promote housing affordability and choice; to facilitate access to and competition and efficiency in the provision of housing finance; to protect the availability of adequate funding for housing; and to contribute to the well-being of the housing sector. Additional “objects” in the NHA relate to the Corporation’s housing finance activities. These are: a) to promote the efficient functioning and competitiveness of the housing finance market; b) to promote and contribute to the stability of the financial system, including the housing market; and c) to have due regard to the Corporation’s exposure to loss.","Families, Children and Social Development",Crown Corporations,CMH,III,N.A.,"Minister of Families, Children and Social Development",N.A.,N.A.,1946,Auditor General of Canada,Ernst & Young LLP,31-Dec,N.A.,Active,N.A.,N.A.
43,Canada Pension Plan Investment Board,N.A.,www.cppib.com,"Canada Pension Plan Investment Board Act, S.C. 1997, c. 40","(a) to assist the Canada Pension Plan in meeting its obligations to contributors and beneficiaries under the Canada Pension Plan; (b) to manage any amounts transferred to it under the Canada Pension Plan, and its right, title or interest in any designated securities, in the best interests of the contributors and beneficiaries under that Act; and (c) to invest its assets with a view to achieving a maximum rate of return, without undue risk of loss, having regard to the factors that may affect the funding of the Canada Pension Plan and the ability of the Canada Pension Plan to meet its financial obligations on any given business day.",Finance,Crown Corporations,CPI,N.A.,N.A.,Minister of Finance,N.A.,N.A.,1998,Deloitte LLP,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
44,Canada Post Corporation,Canada Post,www.canadapost.ca,"Canada Post Corporation Act, R.S.C. 1985, c. C-10","To establish and operate a postal service for the collection, transmission and delivery of messages, information, funds and goods both within Canada and between Canada and places outside Canada, and to conduct its operations on a self-sustaining financial basis while providing a standard of service that will meet the needs of the people of Canada and that is similar with respect to communities of the same size.",Public Services and Procurement,Crown Corporations,CPO,III,N.A.,Minister of Public Services and Procurement,N.A.,N.A.,1981,Auditor General of Canada,KPMG LLP,31-Dec,N.A.,Active,N.A.,N.A.
46,Canada Revenue Agency,N.A.,www.cra-arc.gc.ca,"Canada Revenue Agency Act, S.C. 1999, c. 17","To administer tax laws for the Government of Canada and for most provinces and territories and various social and economic benefit and incentive programs delivered through the tax system; to support the administration and enforcement of program legislation; to implement agreements between the Government of Canada and the government of a province, territory, or other public body performing a function of government in Canada; to implement agreements or arrangements between the Canada Revenue Agency and departments or other agencies of the Government of Canada; and to implement agreements between the Government of Canada and First Nations governments to administer a tax.",National Revenue,Service Agencies,NAR,II,V,Minister of National Revenue,N.A.,N.A.,1999,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
47,Canada School of Public Service,N.A.,www.myschool-monecole.gc.ca,"Canada School of Public Service Act, S.C. 1991, c. 16","The Canada School of Public Service (the School) is the common learning  service provider for the Public Service of Canada. The School has a  legislative mandate to provide a range of learning activities to build  individual and organizational capacity and management excellence within  the public service. The School has one strategic outcome: Federal public  service employees have the common knowledge, skills and competencies to fulfill their responsibilities in serving Canadians.   The President of the Treasury Board is responsible for this organization.",Treasury Board,Departmental Corporations,CES,II,IV,President of the Treasury Board,N.A.,N.A.,2004,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
48,Canada-Newfoundland and Labrador Offshore Petroleum Board,N.A.,www.cnlopb.ca,"Canada–Newfoundland and Labrador Atlantic Accord Implementation Act, S.C. 1987, c. 3 
Canada-Newfoundland and Labrador Atlantic Accord Implementation Newfoundland and Labrador Act, R.S.N.L. 1990, c. C-2.","To administer the relevant provisions of the Canada–Newfoundland and Labrador Atlantic Accord Implementation Act and of the Canada-Newfoundland and Labrador Atlantic Accord Implementation Newfoundland and Labrador Act, R.S.N.L. 1990, c. C-2, as enacted by the Parliament of Canada and the Legislature of Newfoundland and Labrador, respectively.",Natural Resources,Shared-Governance Corporations,CFO,N.A.,N.A.,Minister of Natural Resources,N.A.,N.A.,1987,KPMG LLP,N.A.,31-Mar,3/7 board members,Active,N.A.,N.A.
49,Canada-Nova Scotia Offshore Petroleum Board,N.A.,www.cnsopb.ns.ca,"Canada-Nova Scotia Offshore Petroleum Resources Accord Implementation Act, S.C. 1988, c. 28 Canada-Nova Scotia Offshore Petroleum Resources Accord Implementation (Nova Scotia) Act, S.N.S. 1987, c. 3.",To administer the relevant provisions of the Canada-Nova Scotia Offshore Petroleum Resources Accord Implementation Act as enacted by the Parliament of Canada and the Legislature of Nova Scotia.,Natural Resources,Shared-Governance Corporations,CNO,N.A.,N.A.,Minister of Natural Resources,N.A.,N.A.,1990,Levy Casey Carter MacLean LLP,N.A.,31-Mar,2/5 board members,Active,N.A.,N.A.
50,Canadian Agency for Drugs and Technologies in Health,N.A.,www.cadth.ca,"Canada Not-for-profit Corporations Act, S.C. 2009, c. 23","To provide health care decision makers with credible, impartial advice and evidence-based information about the effectiveness and efficiency of drugs and other health technologies.",Health,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Health,N.A.,N.A.,1989,Price Waterhouse Coopers,N.A.,31-Mar,1/13 board members,Active,N.A.,N.A.
51,Canadian Air Transport Security Authority,Canadian Air Transport Security Authority,www.catsa.gc.ca,"Canadian Air Transport Security Authority Act, s. 2, being Part I of the Budget Implementation Act, 2001, S.C. 2002, c. 9","The Canadian Air Transport Security Authority (CATSA) is responsible for the delivery of effective and efficient screening of persons who access aircraft or restricted areas through screening points, the property in their possession or control, and the belongings or baggage that they give to an air carrier for transport. The CATSA Act also specifies that the delivery of screening services must be done in a consistent manner and in the public interest. CATSA has a mandate to provide security in four areas of aviation security: Pre-Board Screening; Hold Baggage Screening; Non-Passenger Screening; and Restricted Area Identity Card. In addition, under an agreement it concluded with Transport Canada in 2010, CATSA is authorized to conduct screening, where capacity exists, of cargo at 49 smaller airports.",Transport,Crown Corporations,CTA,III,N.A.,Minister of Transport,N.A.,N.A.,2002,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,"Disclaimer: the profile information for this organization has not yet been validated for 2017, as per the Policy on Results and the Financial Administration Act."
52,Canadian Artists and Producers Professional Relations Tribunal,N.A.,N.A.,"Status of the Artist Act, S.C. 1992, c. 33","To define the sectors of cultural activity suitable for collective bargaining between artists’ associations and producers within the jurisdiction of the Canadian Artists and Producers Professional Relations Tribunal; to certify artists’ associations to represent self-employed artists working in these sectors; to deal with complaints of unfair labour practices and other matters brought forward by artists, artists’ associations or producers; and to prescribe appropriate remedies for contraventions of Part II of the Status of the Artist Act.",N.A.,Departmental Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1993,N.A.,N.A.,N.A.,N.A.,Transferred,2012,N.A.
